时间, 温度
2024-10-23 11:26:32, 143.26
2024-10-23 11:26:32, 142.62
2024-10-23 11:26:32, 142.39
2024-10-23 11:26:32, 142.27
2024-10-23 11:26:32, 142.65
2024-10-23 11:26:32, 142.35
2024-10-23 11:26:32, 142.38
2024-10-23 11:26:32, 141.11
2024-10-23 11:26:32, 144.96
2024-10-23 11:26:32, 142.85
2024-10-23 11:26:32, 142.74
2024-10-23 11:26:32, 142.78
2024-10-23 11:26:32, 142.86
2024-10-23 11:26:32, 142.86
2024-10-23 11:26:32, 142.77
2024-10-23 11:26:32, 142.41
2024-10-23 11:26:32, 142.82
2024-10-23 11:26:32, 141.71
2024-10-23 11:26:33, 145.07
2024-10-23 11:26:33, 142.24
2024-10-23 11:26:33, 142.8
2024-10-23 11:26:33, 142.76
2024-10-23 11:26:33, 142.61
2024-10-23 11:26:33, 142.16
2024-10-23 11:26:33, 142.3
2024-10-23 11:26:33, 142.4
2024-10-23 11:26:33, 142.19
2024-10-23 11:26:33, 142.06
2024-10-23 11:26:33, 142.55
2024-10-23 11:26:33, 142.65
2024-10-23 11:26:33, 141.48
2024-10-23 11:26:33, 141.81
2024-10-23 11:26:33, 141.7
2024-10-23 11:26:33, 141.96
2024-10-23 11:26:33, 141.6
2024-10-23 11:26:34, 141.77
2024-10-23 11:26:34, 142.2
2024-10-23 11:26:34, 142.59
2024-10-23 11:26:34, 142.41
2024-10-23 11:26:34, 142.63
2024-10-23 11:26:34, 141.83
2024-10-23 11:26:34, 141.85
2024-10-23 11:26:34, 142.14
2024-10-23 11:26:34, 142.17
2024-10-23 11:26:34, 142.24
2024-10-23 11:26:34, 142.07
2024-10-23 11:26:34, 141.24
2024-10-23 11:26:34, 141.47
2024-10-23 11:26:34, 141.06
2024-10-23 11:26:34, 140.96
2024-10-23 11:26:34, 140.68
2024-10-23 11:26:34, 141.93
2024-10-23 11:26:35, 142.2
2024-10-23 11:26:35, 142.04
2024-10-23 11:26:35, 140.96
2024-10-23 11:26:35, 141.31
2024-10-23 11:26:35, 141.47
2024-10-23 11:26:35, 142.89
2024-10-23 11:26:35, 142.27
2024-10-23 11:26:35, 140.41
2024-10-23 11:26:35, 143.23
2024-10-23 11:26:35, 144.48
2024-10-23 11:26:35, 142.89
2024-10-23 11:26:35, 142.45
2024-10-23 11:26:35, 142.16
2024-10-23 11:26:35, 141.97
2024-10-23 11:26:35, 142.43
2024-10-23 11:26:35, 141.98
2024-10-23 11:26:35, 142.23
2024-10-23 11:26:35, 140.98
2024-10-23 11:26:36, 141.55
2024-10-23 11:26:36, 143.06
2024-10-23 11:26:36, 142.28
2024-10-23 11:26:36, 143.11
2024-10-23 11:26:36, 142.24
2024-10-23 11:26:36, 141.42
2024-10-23 11:26:36, 141.81
2024-10-23 11:26:36, 141.64
2024-10-23 11:26:36, 141.39
2024-10-23 11:26:36, 140.62
2024-10-23 11:26:36, 141.45
2024-10-23 11:26:36, 140.1
2024-10-23 11:26:36, 140.63
2024-10-23 11:26:36, 140.62
2024-10-23 11:26:36, 139.71
2024-10-23 11:26:36, 139.7
2024-10-23 11:26:36, 140.39
2024-10-23 11:26:37, 140.96
2024-10-23 11:26:37, 141.24
2024-10-23 11:26:37, 140.81
2024-10-23 11:26:37, 141.03
2024-10-23 11:26:37, 140.34
