时间, 温度
2024-10-30 14:37:12, 136.02
2024-10-30 14:37:12, 139.18
2024-10-30 14:37:12, 135.66
2024-10-30 14:37:12, 137.73
2024-10-30 14:37:12, 132.69
2024-10-30 14:37:12, 130.87
2024-10-30 14:37:12, 139.88
2024-10-30 14:37:12, 135.35
2024-10-30 14:37:12, 135.89
2024-10-30 14:37:12, 137.91
2024-10-30 14:37:12, 129.64
2024-10-30 14:37:12, 146.07
2024-10-30 14:37:12, 132.65
2024-10-30 14:37:12, 134.95
2024-10-30 14:37:12, 134.94
2024-10-30 14:37:13, 138.91
2024-10-30 14:37:13, 133.74
2024-10-30 14:37:13, 130.12
2024-10-30 14:37:13, 135.83
2024-10-30 14:37:13, 136.5
2024-10-30 14:37:13, 135.09
2024-10-30 14:37:13, 134.29
2024-10-30 14:37:13, 132.98
2024-10-30 14:37:13, 128.69
2024-10-30 14:37:13, 138.45
2024-10-30 14:37:13, 140.89
2024-10-30 14:37:13, 129.26
2024-10-30 14:37:13, 136.84
2024-10-30 14:37:13, 137.58
2024-10-30 14:37:13, 135.07
2024-10-30 14:37:13, 134.05
2024-10-30 14:37:13, 137.11
2024-10-30 14:37:13, 135.19
2024-10-30 14:37:14, 137.95
2024-10-30 14:37:14, 134.42
2024-10-30 14:37:14, 141.41
2024-10-30 14:37:14, 138.94
2024-10-30 14:37:14, 134.17
2024-10-30 14:37:14, 136.51
2024-10-30 14:37:14, 138.1
2024-10-30 14:37:14, 139.56
2024-10-30 14:37:14, 136.14
2024-10-30 14:37:14, 136.2
2024-10-30 14:37:14, 137.98
2024-10-30 14:37:14, 133.52
2024-10-30 14:37:14, 132.6
2024-10-30 14:37:14, 136.01
2024-10-30 14:37:14, 123.3
2024-10-30 14:37:14, 128.29
2024-10-30 14:37:14, 131.69
2024-10-30 14:37:15, 131.4
2024-10-30 14:37:15, 136.99
2024-10-30 14:37:15, 134.84
2024-10-30 14:37:15, 135.82
2024-10-30 14:37:15, 136.13
2024-10-30 14:37:15, 135.59
2024-10-30 14:37:15, 139.15
2024-10-30 14:37:15, 137.86
2024-10-30 14:37:15, 131.8
2024-10-30 14:37:15, 134.26
2024-10-30 14:37:15, 139.28
2024-10-30 14:37:15, 136.64
2024-10-30 14:37:15, 139.23
2024-10-30 14:37:15, 142.05
2024-10-30 14:37:15, 135.82
2024-10-30 14:37:15, 137.7
2024-10-30 14:37:15, 132.71
2024-10-30 14:37:15, 141.99
2024-10-30 14:37:16, 133.88
2024-10-30 14:37:16, 132.66
2024-10-30 14:37:16, 134.24
2024-10-30 14:37:16, 134.86
2024-10-30 14:37:16, 134.63
2024-10-30 14:37:16, 130.3
2024-10-30 14:37:16, 137.67
2024-10-30 14:37:16, 142.29
2024-10-30 14:37:16, 132.98
2024-10-30 14:37:16, 131.54
