时间, 温度
2024-10-30 16:41:54, 117.71
2024-10-30 16:41:54, 117.45
2024-10-30 16:41:54, 117.47
2024-10-30 16:41:54, 117.3
2024-10-30 16:41:54, 117.51
2024-10-30 16:41:54, 117.63
2024-10-30 16:41:54, 117.69
2024-10-30 16:41:54, 117.75
2024-10-30 16:41:54, 117.67
2024-10-30 16:41:54, 117.21
2024-10-30 16:41:54, 117.29
2024-10-30 16:41:54, 117.08
2024-10-30 16:41:54, 116.86
2024-10-30 16:41:54, 116.86
2024-10-30 16:41:54, 117.02
2024-10-30 16:41:55, 117.04
2024-10-30 16:41:55, 117.23
2024-10-30 16:41:55, 116.82
2024-10-30 16:41:55, 116.95
2024-10-30 16:41:55, 117.22
2024-10-30 16:41:55, 117.06
2024-10-30 16:41:55, 117.12
2024-10-30 16:41:55, 117.4
2024-10-30 16:41:55, 117.29
2024-10-30 16:41:55, 117.58
2024-10-30 16:41:55, 117.53
2024-10-30 16:41:55, 117.41
2024-10-30 16:41:55, 117.27
2024-10-30 16:41:55, 117.24
2024-10-30 16:41:55, 117.26
2024-10-30 16:41:55, 117.24
2024-10-30 16:41:55, 117.06
2024-10-30 16:41:56, 117.49
2024-10-30 16:41:56, 117.39
2024-10-30 16:41:56, 117.36
2024-10-30 16:41:56, 117.41
2024-10-30 16:41:56, 117.11
2024-10-30 16:41:56, 117.07
2024-10-30 16:41:56, 116.86
2024-10-30 16:41:56, 116.71
2024-10-30 16:41:56, 116.78
2024-10-30 16:41:56, 116.9
2024-10-30 16:41:56, 116.74
2024-10-30 16:41:56, 117.28
2024-10-30 16:41:56, 117.3
2024-10-30 16:41:56, 117.7
2024-10-30 16:41:56, 117.47
2024-10-30 16:41:56, 117.19
2024-10-30 16:41:56, 117.26
2024-10-30 16:41:56, 117.01
2024-10-30 16:41:57, 116.77
2024-10-30 16:41:57, 117.12
2024-10-30 16:41:57, 117.13
2024-10-30 16:41:57, 117.24
2024-10-30 16:41:57, 116.82
2024-10-30 16:41:57, 116.93
2024-10-30 16:41:57, 116.82
2024-10-30 16:41:57, 117.0
2024-10-30 16:41:57, 116.73
2024-10-30 16:41:57, 116.22
2024-10-30 16:41:57, 116.35
2024-10-30 16:41:57, 116.13
2024-10-30 16:41:57, 116.17
2024-10-30 16:41:57, 116.03
2024-10-30 16:41:57, 115.92
2024-10-30 16:41:57, 116.12
2024-10-30 16:41:57, 116.04
2024-10-30 16:41:58, 116.56
2024-10-30 16:41:58, 116.83
2024-10-30 16:41:58, 117.21
2024-10-30 16:41:58, 117.34
2024-10-30 16:41:58, 117.32
2024-10-30 16:41:58, 117.86
2024-10-30 16:41:58, 118.17
2024-10-30 16:41:58, 118.24
2024-10-30 16:41:58, 118.09
2024-10-30 16:41:58, 117.83
2024-10-30 16:41:58, 118.01
2024-10-30 16:41:58, 117.62
2024-10-30 16:41:58, 117.57
2024-10-30 16:41:58, 117.07
2024-10-30 16:41:58, 117.02
2024-10-30 16:41:58, 117.03
2024-10-30 16:41:58, 117.01
2024-10-30 16:41:58, 117.06
2024-10-30 16:41:59, 117.02
2024-10-30 16:41:59, 117.35
2024-10-30 16:41:59, 117.31
2024-10-30 16:41:59, 116.7
2024-10-30 16:41:59, 116.66
2024-10-30 16:41:59, 117.5
2024-10-30 16:41:59, 117.99
2024-10-30 16:41:59, 118.11
2024-10-30 16:41:59, 117.93
2024-10-30 16:41:59, 118.25
2024-10-30 16:41:59, 118.46
2024-10-30 16:41:59, 118.33
2024-10-30 16:41:59, 118.25
2024-10-30 16:41:59, 117.95
2024-10-30 16:41:59, 117.62
2024-10-30 16:41:59, 117.24
2024-10-30 16:41:59, 117.04
2024-10-30 16:42:00, 117.22
2024-10-30 16:42:00, 116.9
2024-10-30 16:42:00, 116.91
2024-10-30 16:42:00, 117.17
2024-10-30 16:42:00, 117.14
2024-10-30 16:42:00, 117.47
2024-10-30 16:42:00, 117.75
2024-10-30 16:42:00, 117.87
2024-10-30 16:42:00, 117.96
2024-10-30 16:42:00, 118.13
2024-10-30 16:42:00, 118.04
2024-10-30 16:42:00, 118.05
2024-10-30 16:42:00, 118.03
2024-10-30 16:42:00, 117.62
2024-10-30 16:42:00, 117.81
2024-10-30 16:42:00, 117.43
2024-10-30 16:42:00, 117.55
2024-10-30 16:42:00, 117.9
2024-10-30 16:42:01, 117.64
2024-10-30 16:42:01, 117.52
2024-10-30 16:42:01, 117.52
2024-10-30 16:42:01, 117.53
2024-10-30 16:42:01, 117.72
2024-10-30 16:42:01, 117.75
2024-10-30 16:42:01, 118.04
2024-10-30 16:42:01, 118.33
2024-10-30 16:42:01, 118.38
2024-10-30 16:42:01, 118.27
2024-10-30 16:42:01, 118.05
2024-10-30 16:42:01, 118.07
2024-10-30 16:42:01, 117.99
2024-10-30 16:42:01, 117.66
2024-10-30 16:42:01, 117.52
2024-10-30 16:42:01, 117.01
2024-10-30 16:42:01, 116.93
2024-10-30 16:42:02, 117.45
2024-10-30 16:42:02, 117.35
2024-10-30 16:42:02, 117.67
2024-10-30 16:42:02, 118.06
2024-10-30 16:42:02, 118.04
2024-10-30 16:42:02, 118.07
2024-10-30 16:42:02, 118.06
2024-10-30 16:42:02, 118.17
2024-10-30 16:42:02, 117.94
2024-10-30 16:42:02, 117.94
2024-10-30 16:42:02, 117.54
2024-10-30 16:42:02, 117.27
2024-10-30 16:42:02, 117.16
2024-10-30 16:42:02, 117.09
2024-10-30 16:42:02, 116.98
2024-10-30 16:42:02, 116.93
2024-10-30 16:42:02, 116.79
2024-10-30 16:42:03, 117.03
2024-10-30 16:42:03, 116.94
2024-10-30 16:42:03, 117.02
2024-10-30 16:42:03, 116.98
2024-10-30 16:42:03, 116.85
2024-10-30 16:42:03, 116.9
2024-10-30 16:42:03, 116.54
2024-10-30 16:42:03, 116.68
2024-10-30 16:42:03, 117.03
2024-10-30 16:42:03, 117.13
2024-10-30 16:42:03, 116.79
2024-10-30 16:42:03, 116.95
2024-10-30 16:42:03, 116.85
2024-10-30 16:42:03, 116.95
2024-10-30 16:42:03, 116.64
2024-10-30 16:42:03, 116.95
2024-10-30 16:42:03, 117.33
2024-10-30 16:42:03, 117.5
2024-10-30 16:42:04, 117.38
2024-10-30 16:42:04, 117.25
2024-10-30 16:42:04, 117.17
2024-10-30 16:42:04, 116.78
2024-10-30 16:42:04, 116.64
2024-10-30 16:42:04, 116.51
2024-10-30 16:42:04, 116.64
2024-10-30 16:42:04, 116.88
2024-10-30 16:42:04, 116.82
2024-10-30 16:42:04, 117.07
2024-10-30 16:42:04, 117.22
2024-10-30 16:42:04, 117.66
2024-10-30 16:42:04, 117.37
2024-10-30 16:42:04, 116.75
2024-10-30 16:42:04, 116.64
2024-10-30 16:42:04, 116.59
2024-10-30 16:42:04, 116.97
2024-10-30 16:42:05, 116.57
2024-10-30 16:42:05, 116.48
2024-10-30 16:42:05, 116.07
2024-10-30 16:42:05, 116.06
2024-10-30 16:42:05, 116.08
2024-10-30 16:42:05, 116.2
2024-10-30 16:42:05, 116.78
2024-10-30 16:42:05, 117.02
2024-10-30 16:42:05, 116.9
2024-10-30 16:42:05, 116.83
2024-10-30 16:42:05, 116.73
2024-10-30 16:42:05, 116.37
2024-10-30 16:42:05, 116.55
2024-10-30 16:42:05, 116.22
2024-10-30 16:42:05, 116.61
2024-10-30 16:42:05, 116.49
2024-10-30 16:42:05, 116.5
2024-10-30 16:42:05, 116.38
2024-10-30 16:42:06, 116.45
2024-10-30 16:42:06, 117.07
2024-10-30 16:42:06, 116.94
2024-10-30 16:42:06, 116.6
2024-10-30 16:42:06, 116.63
2024-10-30 16:42:06, 116.8
2024-10-30 16:42:06, 117.33
2024-10-30 16:42:06, 117.15
2024-10-30 16:42:06, 117.24
2024-10-30 16:42:06, 117.44
2024-10-30 16:42:06, 117.3
2024-10-30 16:42:06, 117.5
2024-10-30 16:42:06, 116.96
2024-10-30 16:42:06, 116.8
2024-10-30 16:42:06, 117.31
2024-10-30 16:42:06, 116.74
2024-10-30 16:42:06, 116.54
2024-10-30 16:42:07, 116.37
2024-10-30 16:42:07, 116.42
2024-10-30 16:42:07, 116.0
2024-10-30 16:42:07, 115.37
2024-10-30 16:42:07, 115.47
2024-10-30 16:42:07, 115.48
2024-10-30 16:42:07, 115.36
2024-10-30 16:42:07, 115.16
2024-10-30 16:42:07, 115.55
2024-10-30 16:42:07, 115.43
2024-10-30 16:42:07, 115.58
2024-10-30 16:42:07, 115.29
2024-10-30 16:42:07, 115.34
2024-10-30 16:42:07, 115.3
2024-10-30 16:42:07, 115.25
2024-10-30 16:42:07, 114.97
2024-10-30 16:42:07, 114.94
2024-10-30 16:42:07, 115.33
2024-10-30 16:42:08, 115.06
2024-10-30 16:42:08, 115.21
2024-10-30 16:42:08, 115.27
2024-10-30 16:42:08, 115.54
2024-10-30 16:42:08, 115.68
2024-10-30 16:42:08, 115.96
2024-10-30 16:42:08, 116.05
2024-10-30 16:42:08, 116.3
2024-10-30 16:42:08, 116.53
2024-10-30 16:42:08, 116.15
2024-10-30 16:42:08, 116.32
2024-10-30 16:42:08, 115.98
2024-10-30 16:42:08, 115.82
2024-10-30 16:42:08, 115.76
2024-10-30 16:42:08, 115.15
2024-10-30 16:42:08, 114.92
2024-10-30 16:42:08, 115.4
2024-10-30 16:42:09, 115.0
2024-10-30 16:42:09, 115.0
2024-10-30 16:42:09, 115.0
2024-10-30 16:42:09, 114.99
2024-10-30 16:42:09, 114.72
2024-10-30 16:42:09, 114.68
2024-10-30 16:42:09, 115.14
2024-10-30 16:42:09, 114.69
2024-10-30 16:42:09, 114.73
2024-10-30 16:42:09, 114.38
2024-10-30 16:42:09, 114.33
2024-10-30 16:42:09, 115.04
2024-10-30 16:42:09, 114.62
2024-10-30 16:42:09, 114.44
2024-10-30 16:42:09, 114.36
2024-10-30 16:42:09, 114.57
2024-10-30 16:42:09, 114.26
2024-10-30 16:42:09, 114.23
2024-10-30 16:42:10, 113.96
2024-10-30 16:42:10, 114.08
2024-10-30 16:42:10, 114.46
2024-10-30 16:42:10, 114.5
2024-10-30 16:42:10, 114.26
2024-10-30 16:42:10, 114.27
2024-10-30 16:42:10, 114.24
2024-10-30 16:42:10, 114.24
2024-10-30 16:42:10, 113.84
2024-10-30 16:42:10, 113.89
2024-10-30 16:42:10, 114.43
2024-10-30 16:42:10, 114.53
2024-10-30 16:42:10, 114.6
2024-10-30 16:42:10, 114.89
2024-10-30 16:42:10, 115.43
2024-10-30 16:42:10, 115.24
2024-10-30 16:42:10, 115.46
2024-10-30 16:42:11, 115.22
2024-10-30 16:42:11, 115.25
2024-10-30 16:42:11, 115.53
2024-10-30 16:42:11, 115.34
2024-10-30 16:42:11, 115.08
2024-10-30 16:42:11, 114.55
2024-10-30 16:42:11, 114.52
2024-10-30 16:42:11, 114.81
2024-10-30 16:42:11, 114.28
2024-10-30 16:42:11, 114.18
2024-10-30 16:42:11, 114.08
2024-10-30 16:42:11, 114.41
2024-10-30 16:42:11, 114.47
2024-10-30 16:42:11, 114.62
2024-10-30 16:42:11, 114.54
2024-10-30 16:42:11, 114.7
2024-10-30 16:42:11, 114.77
2024-10-30 16:42:11, 114.7
2024-10-30 16:42:12, 114.99
2024-10-30 16:42:12, 115.03
2024-10-30 16:42:12, 114.77
2024-10-30 16:42:12, 114.51
2024-10-30 16:42:12, 114.22
2024-10-30 16:42:12, 114.42
2024-10-30 16:42:12, 114.22
2024-10-30 16:42:12, 113.65
2024-10-30 16:42:12, 114.65
2024-10-30 16:42:12, 114.71
2024-10-30 16:42:12, 114.83
2024-10-30 16:42:12, 114.68
2024-10-30 16:42:12, 114.62
2024-10-30 16:42:12, 114.3
2024-10-30 16:42:12, 113.8
2024-10-30 16:42:12, 114.0
2024-10-30 16:42:12, 113.81
2024-10-30 16:42:12, 113.59
2024-10-30 16:42:13, 113.78
2024-10-30 16:42:13, 113.52
2024-10-30 16:42:13, 113.57
2024-10-30 16:42:13, 113.58
2024-10-30 16:42:13, 113.53
2024-10-30 16:42:13, 113.33
2024-10-30 16:42:13, 113.41
2024-10-30 16:42:13, 113.07
2024-10-30 16:42:13, 112.88
2024-10-30 16:42:13, 112.53
2024-10-30 16:42:13, 112.47
