时间, 温度
2024-10-31 15:16:17, 117.16
2024-10-31 15:16:17, 117.32
2024-10-31 15:16:17, 117.6
2024-10-31 15:16:17, 117.45
2024-10-31 15:16:17, 117.64
2024-10-31 15:16:17, 117.53
2024-10-31 15:16:17, 117.78
2024-10-31 15:16:17, 117.64
2024-10-31 15:16:17, 117.85
2024-10-31 15:16:17, 117.67
2024-10-31 15:16:17, 117.94
2024-10-31 15:16:17, 117.97
2024-10-31 15:16:17, 117.8
2024-10-31 15:16:17, 117.59
2024-10-31 15:16:17, 117.66
2024-10-31 15:16:17, 117.81
2024-10-31 15:16:18, 117.71
2024-10-31 15:16:18, 117.79
2024-10-31 15:16:18, 117.78
2024-10-31 15:16:18, 117.78
2024-10-31 15:16:18, 117.83
2024-10-31 15:16:18, 117.6
2024-10-31 15:16:18, 117.77
2024-10-31 15:16:18, 118.02
2024-10-31 15:16:18, 118.11
2024-10-31 15:16:18, 118.12
2024-10-31 15:16:18, 117.99
2024-10-31 15:16:18, 117.94
2024-10-31 15:16:18, 117.86
2024-10-31 15:16:18, 117.45
2024-10-31 15:16:18, 117.3
2024-10-31 15:16:18, 117.04
2024-10-31 15:16:18, 117.52
2024-10-31 15:16:19, 117.11
2024-10-31 15:16:19, 116.82
2024-10-31 15:16:19, 117.08
2024-10-31 15:16:19, 117.18
2024-10-31 15:16:19, 117.12
2024-10-31 15:16:19, 116.89
2024-10-31 15:16:19, 116.85
2024-10-31 15:16:19, 117.27
2024-10-31 15:16:19, 117.32
2024-10-31 15:16:19, 117.04
2024-10-31 15:16:19, 116.72
2024-10-31 15:16:19, 117.36
2024-10-31 15:16:19, 117.02
2024-10-31 15:16:19, 117.09
2024-10-31 15:16:19, 117.08
2024-10-31 15:16:19, 117.46
2024-10-31 15:16:19, 117.34
2024-10-31 15:16:19, 117.3
2024-10-31 15:16:20, 117.65
2024-10-31 15:16:20, 117.37
2024-10-31 15:16:20, 117.64
2024-10-31 15:16:20, 117.44
2024-10-31 15:16:20, 117.21
2024-10-31 15:16:20, 117.28
2024-10-31 15:16:20, 117.36
2024-10-31 15:16:20, 117.59
2024-10-31 15:16:20, 117.46
2024-10-31 15:16:20, 117.92
2024-10-31 15:16:20, 117.6
2024-10-31 15:16:20, 117.81
2024-10-31 15:16:20, 117.51
2024-10-31 15:16:20, 117.75
2024-10-31 15:16:20, 117.58
2024-10-31 15:16:20, 117.63
2024-10-31 15:16:20, 117.63
2024-10-31 15:16:21, 117.52
2024-10-31 15:16:21, 117.65
2024-10-31 15:16:21, 117.79
2024-10-31 15:16:21, 117.79
2024-10-31 15:16:21, 118.01
2024-10-31 15:16:21, 118.01
2024-10-31 15:16:21, 117.75
2024-10-31 15:16:21, 117.44
2024-10-31 15:16:21, 117.41
2024-10-31 15:16:21, 117.46
2024-10-31 15:16:21, 117.23
2024-10-31 15:16:21, 117.49
2024-10-31 15:16:21, 117.67
2024-10-31 15:16:21, 118.12
2024-10-31 15:16:21, 118.34
2024-10-31 15:16:21, 118.1
2024-10-31 15:16:21, 117.88
2024-10-31 15:16:21, 117.88
2024-10-31 15:16:22, 118.16
2024-10-31 15:16:22, 118.29
2024-10-31 15:16:22, 118.46
2024-10-31 15:16:22, 118.68
2024-10-31 15:16:22, 118.35
2024-10-31 15:16:22, 118.53
2024-10-31 15:16:22, 118.6
2024-10-31 15:16:22, 118.6
2024-10-31 15:16:22, 118.51
2024-10-31 15:16:22, 118.39
2024-10-31 15:16:22, 118.44
2024-10-31 15:16:22, 118.27
2024-10-31 15:16:22, 118.26
2024-10-31 15:16:22, 118.52
2024-10-31 15:16:22, 118.69
2024-10-31 15:16:22, 118.99
2024-10-31 15:16:22, 119.23
2024-10-31 15:16:23, 119.17
2024-10-31 15:16:23, 119.38
2024-10-31 15:16:23, 119.41
2024-10-31 15:16:23, 119.49
2024-10-31 15:16:23, 119.56
2024-10-31 15:16:23, 119.33
2024-10-31 15:16:23, 119.17
2024-10-31 15:16:23, 119.41
2024-10-31 15:16:23, 119.45
2024-10-31 15:16:23, 119.57
2024-10-31 15:16:23, 119.29
2024-10-31 15:16:23, 119.42
2024-10-31 15:16:23, 119.27
2024-10-31 15:16:23, 119.24
2024-10-31 15:16:23, 119.28
2024-10-31 15:16:23, 119.11
2024-10-31 15:16:23, 119.18
2024-10-31 15:16:23, 119.39
2024-10-31 15:16:24, 119.45
2024-10-31 15:16:24, 119.3
2024-10-31 15:16:24, 119.59
2024-10-31 15:16:24, 119.4
2024-10-31 15:16:24, 119.34
2024-10-31 15:16:24, 119.16
2024-10-31 15:16:24, 119.0
2024-10-31 15:16:24, 119.1
2024-10-31 15:16:24, 119.11
2024-10-31 15:16:24, 118.94
2024-10-31 15:16:24, 119.07
2024-10-31 15:16:24, 119.12
2024-10-31 15:16:24, 118.96
2024-10-31 15:16:24, 118.66
2024-10-31 15:16:24, 118.24
2024-10-31 15:16:24, 118.21
2024-10-31 15:16:24, 118.39
2024-10-31 15:16:25, 118.17
2024-10-31 15:16:25, 117.99
2024-10-31 15:16:25, 117.99
2024-10-31 15:16:25, 118.02
2024-10-31 15:16:25, 118.22
2024-10-31 15:16:25, 117.98
2024-10-31 15:16:25, 117.79
2024-10-31 15:16:25, 118.0
2024-10-31 15:16:25, 117.45
2024-10-31 15:16:25, 117.73
2024-10-31 15:16:25, 117.38
2024-10-31 15:16:25, 117.57
2024-10-31 15:16:25, 117.32
2024-10-31 15:16:25, 117.15
2024-10-31 15:16:25, 117.34
2024-10-31 15:16:25, 117.23
2024-10-31 15:16:25, 117.13
2024-10-31 15:16:25, 117.31
2024-10-31 15:16:26, 116.97
2024-10-31 15:16:26, 117.23
2024-10-31 15:16:26, 117.13
2024-10-31 15:16:26, 117.02
2024-10-31 15:16:26, 117.13
2024-10-31 15:16:26, 116.86
2024-10-31 15:16:26, 116.69
2024-10-31 15:16:26, 116.95
2024-10-31 15:16:26, 116.8
2024-10-31 15:16:26, 116.7
2024-10-31 15:16:26, 116.79
2024-10-31 15:16:26, 116.67
2024-10-31 15:16:26, 116.92
2024-10-31 15:16:26, 116.85
2024-10-31 15:16:26, 116.93
2024-10-31 15:16:26, 116.99
2024-10-31 15:16:26, 117.07
2024-10-31 15:16:27, 117.03
2024-10-31 15:16:27, 117.26
2024-10-31 15:16:27, 117.5
2024-10-31 15:16:27, 117.29
2024-10-31 15:16:27, 117.44
2024-10-31 15:16:27, 117.1
2024-10-31 15:16:27, 117.38
2024-10-31 15:16:27, 117.07
2024-10-31 15:16:27, 116.91
2024-10-31 15:16:27, 116.71
2024-10-31 15:16:27, 116.72
2024-10-31 15:16:27, 116.77
2024-10-31 15:16:27, 116.8
2024-10-31 15:16:27, 116.55
2024-10-31 15:16:27, 116.42
2024-10-31 15:16:27, 116.56
2024-10-31 15:16:27, 116.26
2024-10-31 15:16:27, 116.04
2024-10-31 15:16:28, 116.15
2024-10-31 15:16:28, 116.49
2024-10-31 15:16:28, 116.29
2024-10-31 15:16:28, 116.3
2024-10-31 15:16:28, 116.46
2024-10-31 15:16:28, 116.55
2024-10-31 15:16:28, 116.44
2024-10-31 15:16:28, 116.55
2024-10-31 15:16:28, 116.24
2024-10-31 15:16:28, 116.25
2024-10-31 15:16:28, 116.42
2024-10-31 15:16:28, 116.39
2024-10-31 15:16:28, 116.45
2024-10-31 15:16:28, 116.2
2024-10-31 15:16:28, 116.5
2024-10-31 15:16:28, 116.62
2024-10-31 15:16:28, 116.45
2024-10-31 15:16:29, 116.77
2024-10-31 15:16:29, 116.86
2024-10-31 15:16:29, 116.76
2024-10-31 15:16:29, 116.88
2024-10-31 15:16:29, 117.08
2024-10-31 15:16:29, 116.8
2024-10-31 15:16:29, 116.94
2024-10-31 15:16:29, 117.09
2024-10-31 15:16:29, 116.95
2024-10-31 15:16:29, 117.11
2024-10-31 15:16:29, 117.12
2024-10-31 15:16:29, 117.0
2024-10-31 15:16:29, 117.24
2024-10-31 15:16:29, 116.8
2024-10-31 15:16:29, 117.31
2024-10-31 15:16:29, 117.37
2024-10-31 15:16:29, 116.75
2024-10-31 15:16:29, 117.41
2024-10-31 15:16:30, 117.07
2024-10-31 15:16:30, 117.13
2024-10-31 15:16:30, 117.03
2024-10-31 15:16:30, 116.94
2024-10-31 15:16:30, 117.26
2024-10-31 15:16:30, 117.32
2024-10-31 15:16:30, 117.25
2024-10-31 15:16:30, 117.58
2024-10-31 15:16:30, 117.41
2024-10-31 15:16:30, 117.54
2024-10-31 15:16:30, 117.45
2024-10-31 15:16:30, 117.32
2024-10-31 15:16:30, 117.56
2024-10-31 15:16:30, 117.56
2024-10-31 15:16:30, 117.42
2024-10-31 15:16:30, 117.52
2024-10-31 15:16:30, 117.59
2024-10-31 15:16:31, 117.33
2024-10-31 15:16:31, 117.33
2024-10-31 15:16:31, 116.83
2024-10-31 15:16:31, 117.16
2024-10-31 15:16:31, 117.04
2024-10-31 15:16:31, 116.81
2024-10-31 15:16:31, 116.67
2024-10-31 15:16:31, 116.63
2024-10-31 15:16:31, 116.56
2024-10-31 15:16:31, 116.6
2024-10-31 15:16:31, 116.23
2024-10-31 15:16:31, 116.34
2024-10-31 15:16:31, 116.35
2024-10-31 15:16:31, 116.45
2024-10-31 15:16:31, 115.99
2024-10-31 15:16:31, 116.18
2024-10-31 15:16:31, 116.09
2024-10-31 15:16:31, 115.97
2024-10-31 15:16:32, 115.52
2024-10-31 15:16:32, 115.74
2024-10-31 15:16:32, 115.69
2024-10-31 15:16:32, 115.67
2024-10-31 15:16:32, 115.5
2024-10-31 15:16:32, 115.47
2024-10-31 15:16:32, 115.67
2024-10-31 15:16:32, 115.69
2024-10-31 15:16:32, 115.4
2024-10-31 15:16:32, 115.49
2024-10-31 15:16:32, 115.45
